country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,primary_energy_consumption
AUS,Australia,1965,47.6074104309082,47.13413238525391,0.0069457199424505,0.0,5.251513957977295,5.033539772033691,0.0,0.0,0.0,425.760009765625
AUS,Australia,1966,47.078426361083984,48.1258659362793,0.0088361054658889,0.0,4.786874294281006,4.587331295013428,0.0,0.0,0.0,446.1015319824219
AUS,Australia,1967,45.63180160522461,49.68890380859375,0.0083313817158341,0.0,4.670965671539307,4.478845596313477,0.0,0.0,0.0,473.093017578125
AUS,Australia,1968,44.31673049926758,51.0314826965332,0.0608845651149749,0.0,4.590899467468262,4.414737224578857,0.0,0.0,0.0,501.6937561035156
AUS,Australia,1969,44.0196647644043,50.38813018798828,0.7922580242156982,0.0,4.799949169158936,4.6313557624816895,0.0,0.0,0.0,522.4282836914062
AUS,Australia,1970,40.77251434326172,51.06724166870117,3.045073270797729,0.0,5.115169525146484,4.971639633178711,0.0,0.0,0.0,570.1016235351562
AUS,Australia,1971,38.9741325378418,51.20335006713867,4.328051090240479,0.0,5.494464874267578,5.356734275817871,0.0,0.0,0.0,598.8076171875
AUS,Australia,1972,38.93082427978516,49.84463119506836,5.941334247589111,0.0,5.283210754394531,5.1429877281188965,0.0,0.0,0.0,626.0950317382812
AUS,Australia,1973,37.921478271484375,49.74926376342773,7.055400848388672,0.0,5.273860454559326,5.115533351898193,0.0,0.0,0.0,669.3558959960938
AUS,Australia,1974,37.225074768066406,49.58305358886719,7.5702080726623535,0.0,5.621664047241211,5.432680130004883,0.0,0.0,0.0,711.9010620117188
AUS,Australia,1975,37.79006576538086,48.26745223999024,7.99639892578125,0.0,5.9460859298706055,5.734199523925781,0.0,0.0,0.0,723.9002075195312
AUS,Australia,1976,37.74741363525391,47.66408157348633,9.11928653717041,0.0,5.469220161437988,5.266613006591797,0.0,0.0,0.0,749.0881958007812
AUS,Australia,1977,37.5463752746582,47.55517959594727,9.925616264343262,0.0,4.972825527191162,4.801721096038818,0.0,0.0,0.0,785.968505859375
AUS,Australia,1978,37.333003997802734,47.11399841308594,10.354828834533691,0.0,5.198166370391846,5.041638851165772,0.0,0.0,0.0,811.2208862304688
AUS,Australia,1979,37.62224960327149,46.01288604736328,11.49087905883789,0.0,4.873986721038818,4.718241691589356,0.0,0.0,0.0,841.2914428710938
AUS,Australia,1980,38.57934188842773,43.68783950805664,13.14621925354004,0.0,4.5865983963012695,4.443676948547363,0.0,0.0,0.0,844.2469482421875
AUS,Australia,1981,38.95077896118164,42.3741455078125,14.023962020874023,0.0,4.651113033294678,4.503500938415527,0.0,0.0,0.0,857.7938842773438
AUS,Australia,1982,39.72180938720703,42.101318359375,13.801481246948242,0.0,4.375391006469727,4.185147285461426,0.0,0.0,0.0,849.91943359375
AUS,Australia,1983,40.09621047973633,40.59186172485352,15.139310836791992,0.0,4.172614574432373,4.012151718139648,0.0,0.0,0.0,841.571533203125
