country_code,country_name,year,pm25
CAN,Canada,1990,10.5454235687613
CAN,Canada,1991,10.5219930805906
CAN,Canada,1992,10.483576244595
CAN,Canada,1993,10.4337219113849
CAN,Canada,1994,10.3759789315703
CAN,Canada,1995,10.3138961557615
CAN,Canada,1996,10.2257256686868
CAN,Canada,1997,10.1043387729322
CAN,Canada,1998,9.97521314589414
CAN,Canada,1999,9.86382646496894
CAN,Canada,2000,9.79565640755295
CAN,Canada,2001,9.76086476457905
CAN,Canada,2002,9.72810868247048
CAN,Canada,2003,9.69060887185911
CAN,Canada,2004,9.64158604337681
CAN,Canada,2005,9.57426090765544
CAN,Canada,2006,9.40182085213359
CAN,Canada,2007,9.08026235211045
CAN,Canada,2008,8.66701975000882
CAN,Canada,2009,8.21952738825148
CAN,Canada,2010,7.79521960926122
CAN,Canada,2011,7.37287638245787
CAN,Canada,2012,7.58558915249491
CAN,Canada,2013,7.26096632331949
CAN,Canada,2014,7.38092988336422
CAN,Canada,2015,7.11576183142395
CAN,Canada,2016,6.40675155079521
CAN,Canada,2017,7.04492025305158
CAN,Canada,2018,7.09175111254794
CAN,Canada,2019,6.22680169266749
CAN,Canada,2020,6.56566994375263
CHN,China,1990,49.2982835711818
CHN,China,1991,49.0672325508637
CHN,China,1992,48.8924228431587
CHN,China,1993,48.791369241364
CHN,China,1994,48.781586538777
CHN,China,1995,48.8805895286948
CHN,China,1996,49.0813804747361
CHN,China,1997,49.3486255923044
CHN,China,1998,49.6573356023741
CHN,China,1999,49.9825212259198
CHN,China,2000,50.299193183916
CHN,China,2001,50.6280489574036
CHN,China,2002,50.9679256961335
CHN,China,2003,51.2610436241453
CHN,China,2004,51.4496229654785
CHN,China,2005,51.4758839441727
CHN,China,2006,50.9696705667541
CHN,China,2007,49.8862602874654
CHN,China,2008,48.6560235019206
CHN,China,2009,47.7093306057335
CHN,China,2010,47.4765519945183
CHN,China,2011,51.34994369566
CHN,China,2012,48.1207251131123
CHN,China,2013,58.4662215596184
CHN,China,2014,54.5688342973092
CHN,China,2015,50.832537964484
CHN,China,2016,46.8324682508133
CHN,China,2017,45.8369336166997
CHN,China,2018,40.2663875187565
CHN,China,2019,37.5475753654351
CHN,China,2020,34.8105237153218
IND,India,1990,62.003888011973
IND,India,1991,61.2581793192197
IND,India,1992,60.6496803371831
IND,India,1993,60.1796403222327
IND,India,1994,59.8493085307383
IND,India,1995,59.6599342190696
IND,India,1996,59.7266095285175
IND,India,1997,60.0761957532898
IND,India,1998,60.5775958791317
IND,India,1999,61.0997128917884
IND,India,2000,61.511449777005
IND,India,2001,61.9068347721157
IND,India,2002,62.3725221530569
IND,India,2003,62.766353963477
IND,India,2004,62.9461722470244
IND,India,2005,62.7698190473475
IND,India,2006,61.1951099242157
IND,India,2007,58.0211349861865
IND,India,2008,54.3676481000901
IND,India,2009,51.3544031327568
IND,India,2010,50.1011539510167
IND,India,2011,61.708624213512
IND,India,2012,74.0031607462287
IND,India,2013,76.2501768290597
IND,India,2014,79.0373957134889
IND,India,2015,73.810991410386
IND,India,2016,75.7890035327013
IND,India,2017,67.3122713926644
IND,India,2018,68.1209525065052
IND,India,2019,59.8919808842351
IND,India,2020,48.3948115195574
USA,United States,1990,14.1040671222385
USA,United States,1991,14.0544341851405
USA,United States,1992,13.9809637897444
USA,United States,1993,13.8889589603847
USA,United States,1994,13.7837227213961
USA,United States,1995,13.6705580971134
USA,United States,1996,13.5247584523913
USA,United States,1997,13.3350220125644
USA,United States,1998,13.1267590926874
USA,United States,1999,12.9253800078151
USA,United States,2000,12.756295073002
USA,United States,2001,12.6049538802777
USA,United States,2002,12.4353763769804
USA,United States,2003,12.2408284111277
USA,United States,2004,12.0145758307373
USA,United States,2005,11.7498844838268
USA,United States,2006,11.309448518998
USA,United States,2007,10.6730029423263
USA,United States,2008,10.0093748880401
USA,United States,2009,9.48739149036763
USA,United States,2010,9.27587988353719
USA,United States,2011,9.36462744857706
USA,United States,2012,9.01055428019472
USA,United States,2013,8.74620817680451
USA,United States,2014,8.5101265108009
USA,United States,2015,8.19074183499752
USA,United States,2016,7.40835009300858
USA,United States,2017,7.79040584360488
USA,United States,2018,7.8220065111125
USA,United States,2019,7.17602147949022
USA,United States,2020,7.81485752365112
