dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
35210937,36.4,7.5,7.5,1.9,0.0,0.0,0.0,7.5,0.0,0.0,0.0,63.6,0.0,StatCan area #35210937
35210938,51.1,11.9,13.6,4.5,3.4,5.1,1.1,0.0,0.0,0.0,0.0,48.9,0.0,StatCan area #35210938
35210939,40.0,13.3,0.0,0.0,0.0,0.0,10.5,1.9,0.0,0.0,0.0,59.0,0.0,StatCan area #35210939
35210940,48.4,7.8,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,50.0,0.0,StatCan area #35210940
35210941,34.5,9.1,5.5,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,65.5,0.0,StatCan area #35210941
35210942,42.6,16.7,6.5,0.0,0.0,6.5,4.6,0.0,0.0,0.0,0.0,57.4,0.0,StatCan area #35210942
35210943,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,0.0,StatCan area #35210943
35210944,34.1,8.8,0.0,8.0,2.2,4.4,3.1,0.0,2.2,0.0,0.9,65.0,0.9,StatCan area #35210944
35210945,45.9,14.5,11.9,5.7,1.9,4.4,4.4,0.0,0.0,0.0,0.0,54.1,0.0,StatCan area #35210945
35210946,58.1,13.0,13.0,6.3,7.5,10.3,0.8,3.6,0.0,0.0,0.0,41.9,0.0,StatCan area #35210946
35210947,70.5,42.6,4.7,4.7,3.1,12.4,0.0,0.0,0.0,0.0,0.0,28.7,0.0,StatCan area #35210947
35210948,69.0,39.4,16.9,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,32.4,0.0,StatCan area #35210948
35210949,27.4,5.2,0.0,11.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,73.3,0.0,StatCan area #35210949
35210951,23.1,6.2,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,72.3,4.6,StatCan area #35210951
35210952,22.9,13.8,3.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1,0.0,StatCan area #35210952
35210953,33.8,12.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,StatCan area #35210953
35210954,18.4,6.8,4.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,81.6,0.0,StatCan area #35210954
