dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
35180413,43.7,5.8,37.9,10.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180413
35180414,52.5,14.8,23.0,6.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180414
35180416,47.4,7.9,21.1,19.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180416
35180417,33.8,14.1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180417
35180418,47.9,22.5,22.5,5.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180418
35180419,50.8,6.9,29.2,13.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180419
35180421,36.4,19.1,35.5,10.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180421
35180423,42.9,32.8,11.8,4.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180423
35180424,61.9,28.4,6.0,3.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180424
35180425,52.3,26.1,18.0,3.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180425
35180426,46.2,33.8,16.2,0.0,0.0,0.0,0.0,0.0,2.5,StatCan area #35180426
35180427,58.9,18.3,16.0,5.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180427
35180428,61.2,25.9,8.6,1.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180428
35180429,72.3,18.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180429
35180430,68.0,18.4,6.8,5.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180430
35180431,54.3,33.5,12.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180431
35180432,64.8,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180432
35180433,54.3,30.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180433
35180434,55.3,32.6,6.4,5.0,1.4,0.0,0.0,0.0,0.0,StatCan area #35180434
35180436,51.4,35.1,0.0,16.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180436
35180437,52.1,24.2,12.8,10.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180437
35180438,50.0,37.1,11.3,0.0,0.0,1.6,0.0,0.0,0.0,StatCan area #35180438
35180439,45.5,40.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180439
35180440,57.4,35.2,0.0,0.0,0.0,2.8,3.7,0.0,0.0,StatCan area #35180440
35180441,72.4,12.9,0.0,12.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180441
35180442,57.4,30.7,5.7,4.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180442
35180445,56.1,25.9,6.3,11.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180445
35180446,60.3,20.7,20.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180446
35180447,69.5,20.3,5.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180447
35180448,60.1,20.3,16.1,3.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180448
35180450,64.9,17.3,9.5,6.5,0.0,0.0,0.0,0.0,1.2,StatCan area #35180450
35180451,32.5,19.3,21.9,22.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180451
35180452,53.2,14.5,25.8,4.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180452
35180453,56.5,13.1,17.8,12.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180453
35180454,54.3,30.9,12.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180454
35180455,57.9,36.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180455
35180456,50.6,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180456
35180457,38.8,45.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180457
35180458,43.2,48.3,5.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180458
35180459,39.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180459
35180460,60.0,27.5,3.3,5.0,0.0,0.0,3.3,0.0,0.0,StatCan area #35180460
35180461,54.9,32.0,4.9,6.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180461
35180462,45.4,35.2,6.5,10.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180462
35180463,60.7,34.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,StatCan area #35180463
35180464,49.7,29.1,11.0,6.0,0.0,1.4,0.0,0.0,2.7,StatCan area #35180464
35180465,46.9,42.9,0.0,4.8,0.0,2.7,0.0,0.0,0.0,StatCan area #35180465
35180466,50.4,43.1,0.0,7.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180466
35180467,68.4,21.4,11.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180467
35180468,61.9,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180468
35180469,54.5,32.7,0.0,8.5,0.0,0.9,0.0,0.0,0.0,StatCan area #35180469
35180472,60.7,16.1,6.2,14.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180472
35180473,62.2,23.4,8.1,5.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180473
35180474,43.2,43.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180474
35180475,67.6,24.9,3.5,1.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180475
35180476,37.3,26.5,20.5,12.0,0.0,0.0,2.4,0.0,0.0,StatCan area #35180476
35180477,61.0,32.9,0.0,6.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180477
35180478,55.1,24.0,10.7,7.7,2.0,0.0,1.0,0.0,0.0,StatCan area #35180478
35180479,65.8,22.2,6.8,5.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180479
35180480,66.3,12.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180480
35180481,56.4,24.0,11.3,4.4,2.5,0.0,0.0,0.0,0.0,StatCan area #35180481
35180482,53.5,22.1,16.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180482
35180483,62.3,27.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180483
35180484,65.5,19.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180484
35180485,74.0,14.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180485
35180486,68.9,13.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180486
35180487,46.2,23.1,19.2,11.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180487
35180488,60.2,21.1,5.4,10.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180488
35180489,59.4,14.1,17.2,7.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180489
35180490,54.7,25.9,9.4,9.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180490
35180491,63.4,22.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180491
35180492,62.1,17.7,8.1,7.3,1.6,2.4,0.0,0.0,0.0,StatCan area #35180492
35180493,53.3,32.2,7.9,4.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180493
35180494,40.2,37.9,11.4,6.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180494
35180495,39.6,29.5,23.7,7.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180495
35180496,45.6,17.8,22.5,10.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180496
35180497,53.9,29.7,7.8,0.0,5.5,0.0,0.0,0.0,1.6,StatCan area #35180497
35180498,43.2,21.6,9.6,20.0,0.0,0.0,4.8,0.0,0.0,StatCan area #35180498
35180499,55.1,18.2,16.7,6.1,0.0,0.0,0.0,0.0,3.0,StatCan area #35180499
35180500,53.4,26.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180500
35180501,42.6,18.5,19.8,16.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180501
35180502,48.2,15.3,23.4,12.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180502
35180503,58.4,14.1,8.6,16.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180503
35180504,45.3,21.5,20.6,9.0,3.6,0.0,0.0,0.0,0.0,StatCan area #35180504
35180505,54.1,11.7,12.6,16.2,5.4,0.0,0.0,0.0,0.0,StatCan area #35180505
35180506,53.3,16.3,20.3,7.2,0.0,0.0,0.0,0.0,0.7,StatCan area #35180506
35180507,56.4,18.4,14.0,8.9,0.0,0.0,0.0,0.0,0.0,StatCan area #35180507
35180508,72.7,15.5,6.4,5.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180508
35180510,57.1,17.9,12.1,12.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180510
35180511,55.4,16.4,18.5,9.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180511
35180512,58.1,22.0,12.4,5.5,0.0,2.1,0.0,0.0,0.0,StatCan area #35180512
35180513,60.9,22.6,14.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180513
35180514,70.8,20.1,4.2,2.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180514
35180515,55.4,14.5,15.7,13.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180515
35180516,63.4,18.3,9.8,9.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180516
35180517,50.9,24.5,22.6,2.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180517
35180518,63.3,21.1,7.0,6.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180518
35180519,66.7,30.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180519
35180520,55.1,26.0,7.9,5.3,2.2,1.3,0.0,0.0,0.9,StatCan area #35180520
35180525,63.9,21.6,6.2,8.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180525
35180538,55.6,25.9,8.1,5.9,0.0,1.5,0.0,0.0,0.0,StatCan area #35180538
35180539,58.7,24.8,7.4,5.0,0.0,2.5,0.0,0.0,0.0,StatCan area #35180539
35180540,63.3,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180540
35180541,59.4,32.0,3.3,3.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180541
35180544,64.6,29.2,0.0,2.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180544
35180545,54.4,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180545
35180546,57.8,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180546
35180547,55.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,StatCan area #35180547
35180548,53.7,34.7,6.1,2.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180548
35180549,54.1,23.7,11.9,11.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180549
35180550,43.5,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180550
35180551,56.6,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180551
35180553,52.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180553
35180554,47.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180554
35180555,65.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180555
35180556,40.7,49.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180556
