jurisdiction,admin_level,source_agency,source_dataset,source_url,licence,boundary_type
Canada,federal,Natural Resources Canada (Canada Lands Survey System),National Parks and National Park Reserves of Canada Legislative Boundaries,https://open.canada.ca/data/en/dataset/9e1507cd-f25c-4c64-995b-6563bf9d65bd,Open Government Licence – Canada,legislative (legal)
Ontario,provincial,Ontario Parks / Land Information Ontario,Provincial Park Regulated (Land Information Ontario),https://geohub.lio.gov.on.ca/datasets/lio::provincial-park-regulated,Open Government Licence – Ontario,regulated (official)
Alberta,provincial,Alberta Environment and Protected Areas,Parks and Protected Areas of Alberta,https://open.alberta.ca/opendata/gda-6b96341f-2e19-4885-98af-66d12ed4f8dd,Open Government Licence – Alberta,official (Order-in-Council)
British Columbia,provincial,BC Parks / DataBC,"BC Parks, Ecological Reserves, and Protected Areas",https://catalogue.data.gov.bc.ca/dataset/1130248f-f1a3-4956-8b2e-38d29d3e4af7,Open Government Licence – British Columbia,official
