cmauid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,not_vm
582,Elliot Lake,2.6,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.1,0.0,0.0,97.4
586,Timmins,4.4,1.9,0.5,0.6,0.5,0.2,0.1,0.2,0.1,0.1,0.1,95.6
590,Sault Ste. Marie,4.3,1.5,0.6,0.8,0.2,0.2,0.3,0.1,0.1,0.1,0.1,95.7
595,Thunder Bay,6.7,2.3,0.9,1.0,0.3,0.4,0.3,0.6,0.2,0.1,0.3,93.3
598,Kenora,3.2,1.2,0.3,0.4,0.6,0.0,0.1,0.2,0.0,0.0,0.1,96.8
602,Winnipeg,31.5,7.8,2.8,5.0,10.3,0.9,1.1,1.3,0.4,0.5,0.2,68.5
603,Winkler,7.1,1.5,0.2,0.9,2.5,0.4,1.1,0.1,0.2,0.2,0.0,93.0
605,Steinbach,15.7,2.9,0.3,1.2,8.6,0.1,1.3,0.7,0.0,0.2,0.1,84.3
607,Portage la Prairie,10.4,4.5,0.2,1.5,3.0,0.0,0.5,0.3,0.0,0.0,0.1,89.6
610,Brandon,20.3,4.9,2.8,5.4,1.6,0.2,4.0,0.4,0.1,0.2,0.1,79.7
640,Thompson,15.1,9.3,0.6,2.4,1.1,0.3,0.5,0.4,0.0,0.1,0.0,84.8
705,Regina,23.7,8.0,2.4,4.1,4.9,0.8,0.6,1.5,0.4,0.2,0.1,76.3
710,Yorkton,12.7,3.3,0.6,1.9,5.8,0.1,0.3,0.1,0.2,0.1,0.1,87.3
715,Moose Jaw,10.3,1.9,1.8,1.9,3.0,0.2,0.4,0.5,0.0,0.1,0.1,89.7
720,Swift Current,12.9,2.2,1.0,0.7,7.2,0.2,0.7,0.4,0.0,0.2,0.0,87.1
725,Saskatoon,21.4,6.2,3.1,2.8,4.8,1.0,0.9,1.1,0.6,0.2,0.1,78.6
735,North Battleford,12.6,2.6,0.7,1.5,5.7,0.0,0.8,0.5,0.0,0.4,0.0,87.4
745,Prince Albert,9.9,2.4,0.4,1.9,3.4,0.4,0.4,0.7,0.0,0.0,0.0,90.1
750,Estevan,12.7,1.4,0.6,1.1,8.1,0.2,0.1,0.0,0.0,0.6,0.1,87.3
755,Weyburn,12.2,3.6,0.6,1.5,4.7,0.3,0.3,0.6,0.0,0.2,0.2,87.9
805,Medicine Hat,8.1,1.8,0.9,1.4,1.6,0.4,0.7,0.7,0.0,0.1,0.2,91.8
806,Brooks,48.6,1.4,2.2,22.3,13.4,0.5,4.4,2.8,0.1,0.3,0.4,51.5
810,Lethbridge,13.9,2.6,1.3,2.7,2.0,0.4,2.0,0.7,0.3,0.2,1.4,86.1
820,Okotoks,7.6,1.1,0.6,0.9,2.8,0.1,0.8,0.5,0.1,0.2,0.0,92.4
821,High River,17.5,1.2,0.1,1.6,10.5,0.8,2.0,0.7,0.0,0.2,0.1,82.5
825,Calgary,38.8,10.5,6.4,5.2,6.1,2.2,2.3,1.9,1.1,0.9,0.4,61.2
826,Strathmore,8.0,1.2,0.6,1.2,3.0,0.2,0.5,0.2,0.0,0.2,0.3,92.0
828,Canmore,13.2,2.6,1.6,0.4,3.6,0.4,1.2,0.5,0.1,0.5,2.1,86.8
830,Red Deer,18.9,2.3,1.1,2.0,8.3,0.7,1.8,0.9,0.4,0.3,0.3,81.1
831,Sylvan Lake,5.4,0.5,0.5,0.7,2.0,0.1,0.6,0.2,0.0,0.4,0.1,94.6
832,Lacombe,10.9,1.5,0.3,1.9,4.8,0.2,0.7,0.3,0.2,0.0,0.3,89.1
833,Camrose,10.8,1.9,0.8,1.6,5.0,0.2,0.5,0.2,0.0,0.1,0.0,89.2
835,Edmonton,33.0,8.8,4.5,5.8,5.8,2.3,1.6,1.5,0.6,0.6,0.2,67.0
840,Lloydminster,15.0,2.8,0.3,1.1,9.0,0.2,0.4,0.4,0.2,0.2,0.1,85.0
47840,Lloydminster (Saskatchewan part),17.0,1.9,0.1,0.8,12.7,0.1,0.4,0.5,0.0,0.2,0.1,83.0
48840,Lloydminster (Alberta part),13.3,3.6,0.5,1.4,5.7,0.3,0.4,0.3,0.4,0.2,0.1,86.7
850,Grande Prairie,15.9,2.9,0.8,2.2,6.9,0.6,0.8,0.4,0.1,0.3,0.2,84.1
860,Wood Buffalo,26.8,6.5,1.0,6.6,8.1,1.8,0.9,0.6,0.3,0.1,0.0,73.2
865,Wetaskiwin,13.6,1.5,0.8,1.1,7.9,1.0,0.5,0.2,0.0,0.0,0.0,86.4
905,Cranbrook,5.6,1.4,1.0,0.9,1.0,0.1,0.3,0.4,0.0,0.1,0.2,94.5
907,Nelson,6.6,1.5,0.7,0.6,1.2,0.1,0.7,0.2,0.0,0.2,1.0,93.4
910,Trail,4.5,1.9,0.6,0.4,0.5,0.0,0.3,0.3,0.1,0.0,0.0,95.4
913,Penticton,7.8,2.6,1.0,0.8,1.2,0.1,0.5,0.4,0.2,0.3,0.5,92.2
915,Kelowna,11.2,3.4,1.5,1.1,1.4,0.3,0.8,0.6,0.4,0.4,0.8,88.8
918,Vernon,6.8,2.0,0.9,0.6,0.9,0.3,0.4,0.5,0.1,0.2,0.7,93.2
920,Salmon Arm,5.4,1.1,0.7,0.6,1.1,0.4,0.4,0.2,0.0,0.2,0.8,94.6
925,Kamloops,9.8,4.0,1.3,0.9,1.0,0.2,0.5,0.3,0.1,0.3,0.9,90.2
930,Chilliwack,10.7,2.9,1.4,1.0,1.4,0.2,1.0,1.0,0.3,0.6,0.3,89.3
932,Abbotsford - Mission,35.4,25.9,1.5,1.2,1.6,0.4,1.0,1.4,0.4,0.8,0.4,64.6
933,Vancouver,54.5,14.2,19.6,1.6,5.5,0.9,2.0,2.2,2.5,2.4,1.2,45.5
934,Squamish,15.0,6.4,1.3,0.6,1.8,0.5,1.5,0.5,0.2,0.6,1.2,85.0
935,Victoria,16.7,3.5,4.5,1.3,2.2,0.5,1.0,1.0,0.4,0.6,0.9,83.3
936,Ladysmith,4.0,0.5,1.0,0.4,0.4,0.0,0.2,0.4,0.0,0.2,0.5,95.9
937,Duncan,7.1,2.2,1.1,0.9,1.2,0.2,0.3,0.3,0.1,0.2,0.4,92.9
938,Nanaimo,12.3,2.8,2.7,1.1,1.4,0.4,0.7,1.1,0.3,0.6,0.6,87.7
939,Parksville,4.5,0.7,0.7,0.2,1.4,0.0,0.3,0.2,0.0,0.3,0.3,95.5
940,Port Alberni,4.8,1.9,0.6,0.5,0.4,0.0,0.3,0.3,0.1,0.2,0.2,95.2
943,Courtenay,6.1,1.0,1.0,0.6,1.0,0.1,0.4,0.6,0.1,0.4,0.5,93.9
944,Campbell River,5.4,1.4,0.6,0.6,1.1,0.0,0.3,0.7,0.0,0.3,0.3,94.6
945,Powell River,5.5,0.9,1.1,0.5,0.8,0.1,0.6,0.2,0.0,0.4,0.5,94.5
950,Williams Lake,5.4,1.9,0.4,0.3,0.8,0.0,0.4,0.4,0.0,0.2,0.3,94.6
952,Quesnel,4.2,1.4,0.4,0.3,1.1,0.2,0.3,0.2,0.0,0.1,0.2,95.8
955,Prince Rupert,14.0,5.0,1.0,0.3,2.1,0.3,0.2,3.9,0.0,0.0,0.3,86.0
965,Terrace,7.4,3.7,0.6,0.4,1.1,0.1,0.2,0.2,0.0,0.5,0.5,92.6
970,Prince George,10.4,4.4,1.1,1.3,1.7,0.1,0.3,0.3,0.1,0.3,0.3,89.6
975,Dawson Creek,9.8,2.6,0.5,0.9,3.9,0.0,0.2,1.0,0.1,0.3,0.0,90.2
977,Fort St. John,12.6,3.9,0.6,1.5,4.2,0.1,0.4,0.4,0.1,0.4,0.2,87.4
990,Whitehorse,15.0,3.1,1.8,1.7,5.8,0.0,0.7,0.5,0.1,0.3,0.5,84.9
995,Yellowknife,20.0,3.1,1.3,4.4,6.9,1.0,0.5,1.4,0.1,0.2,0.4,80.0
