dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
24650090,11.2,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8,0.0,StatCan area #24650090
24650091,43.2,0.0,0.0,9.5,0.0,9.5,14.7,0.0,6.3,0.0,0.0,55.8,0.0,StatCan area #24650091
24650092,23.3,0.0,0.0,7.8,0.0,6.7,4.4,0.0,0.0,0.0,0.0,70.0,6.7,StatCan area #24650092
24650093,26.3,0.0,0.0,6.1,0.0,7.9,11.4,0.0,0.0,0.0,0.0,71.1,1.8,StatCan area #24650093
24650094,22.3,0.0,0.0,9.6,0.0,0.0,4.3,0.0,0.0,0.0,0.0,77.7,0.0,StatCan area #24650094
24650095,26.7,0.0,0.0,3.5,0.0,10.5,9.3,0.0,0.0,0.0,0.0,72.1,0.0,StatCan area #24650095
24650096,38.6,0.0,0.0,10.2,0.0,17.0,9.1,0.0,0.0,0.0,0.0,58.0,3.4,StatCan area #24650096
24650097,26.5,0.0,0.0,8.4,0.0,10.8,0.0,0.0,0.0,0.0,0.0,73.5,0.0,StatCan area #24650097
24650098,32.9,2.4,0.0,3.7,0.0,11.0,0.0,6.1,0.0,0.0,0.0,68.3,0.0,StatCan area #24650098
24650099,40.0,0.0,0.0,17.3,0.0,7.3,8.2,0.0,0.0,0.0,0.0,60.0,0.0,StatCan area #24650099
24650100,19.1,0.0,3.2,5.3,0.0,0.0,4.3,6.4,0.0,0.0,0.0,80.9,0.0,StatCan area #24650100
24650101,41.9,0.0,0.0,19.4,0.0,13.7,0.0,6.5,0.0,0.0,0.0,58.9,0.0,StatCan area #24650101
24650102,36.2,4.3,0.0,13.8,0.0,12.9,1.7,0.0,0.0,0.0,0.0,62.9,0.0,StatCan area #24650102
24650103,44.3,0.0,0.0,24.1,0.0,12.7,5.1,0.0,0.0,0.0,0.0,53.2,0.0,StatCan area #24650103
24650104,32.8,1.5,0.0,8.0,0.0,13.1,6.6,0.0,0.0,0.0,0.0,67.9,0.0,StatCan area #24650104
24650105,40.0,3.7,0.0,16.3,0.0,11.9,2.2,5.2,0.0,0.0,0.0,59.3,0.0,StatCan area #24650105
24650106,29.7,4.7,0.0,9.5,0.0,10.1,0.0,1.4,0.0,0.0,0.0,70.3,0.0,StatCan area #24650106
24650107,33.7,0.0,0.0,9.6,0.0,13.3,10.8,0.0,0.0,0.0,0.0,66.3,0.0,StatCan area #24650107
24650108,24.6,0.0,0.0,10.8,0.0,7.7,0.0,4.6,0.0,0.0,0.0,73.8,0.0,StatCan area #24650108
24650109,53.9,0.0,0.0,24.0,0.0,14.3,11.7,0.0,0.0,0.0,0.0,46.8,0.0,StatCan area #24650109
24650110,58.0,3.6,0.0,9.8,0.0,32.1,10.7,0.0,0.0,0.0,0.0,42.9,0.0,StatCan area #24650110
24650111,58.4,0.0,0.0,20.2,0.0,19.1,5.6,5.6,0.0,0.0,0.0,42.7,0.0,StatCan area #24650111
24650112,31.2,0.0,0.0,3.8,0.0,16.2,6.2,0.0,0.0,0.0,0.0,68.8,0.0,StatCan area #24650112
24650113,32.5,0.0,0.0,11.7,0.0,13.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,StatCan area #24650113
24650114,34.1,0.0,2.4,12.4,0.0,6.5,4.7,2.4,0.0,0.0,0.0,63.5,2.4,StatCan area #24650114
24650115,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,StatCan area #24650115
24650116,49.2,0.0,0.0,26.5,0.0,13.6,4.5,0.0,0.0,0.0,0.0,50.8,0.0,StatCan area #24650116
