ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
5350805.20,5350805.20,70.6,24.0,2.8,23.5,7.5,1.9,1.4,0.3,3.2,0.5,0.0,28.1,1.2
5350805.21,5350805.21,62.9,18.0,2.0,15.9,7.5,2.3,1.7,0.0,5.8,0.0,0.0,37.4,0.0
5350805.22,5350805.22,91.3,51.2,4.6,12.7,8.5,1.9,0.8,1.5,4.1,0.0,0.0,8.7,0.0
5350805.23,5350805.23,89.7,45.6,2.5,17.4,5.9,2.5,1.2,0.7,6.2,0.0,0.0,9.8,0.4
5350805.24,5350805.24,65.8,31.6,0.0,5.3,0.0,5.3,0.0,0.0,0.0,0.0,0.0,34.2,0.0
5350805.25,5350805.25,85.7,44.7,2.5,20.3,3.6,1.3,1.0,1.2,2.4,0.0,0.1,13.9,0.3
5350805.26,5350805.26,45.0,13.8,5.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
5350805.27,5350805.27,87.7,41.7,5.4,17.8,8.3,1.2,1.1,0.8,3.0,0.0,0.7,12.2,0.1
5350806.00,5350806.00,72.2,43.3,5.0,9.0,3.2,1.6,1.7,0.6,1.3,0.0,0.3,27.3,0.5
5350807.00,5350807.00,14.8,7.3,1.2,3.0,0.0,0.6,0.4,1.0,0.0,0.0,0.0,84.4,0.8
5350810.01,5350810.01,44.0,10.6,1.2,15.6,3.5,3.3,2.1,0.6,3.8,0.0,0.0,54.5,1.5
5350810.02,5350810.02,25.8,3.3,1.5,8.2,3.7,2.0,0.0,0.0,0.0,0.0,0.0,71.6,2.4
5350810.03,5350810.03,21.0,4.1,0.8,7.0,2.4,1.6,1.4,0.0,1.1,0.0,0.0,75.7,3.3
5350810.04,5350810.04,36.2,6.9,2.4,11.8,3.7,1.8,2.1,0.2,1.7,0.0,0.6,61.3,2.5
5350810.05,5350810.05,34.9,11.9,1.8,9.9,2.1,2.9,1.0,0.0,1.2,0.0,0.7,64.4,0.5
5350811.00,5350811.00,43.3,13.0,1.3,11.5,6.5,1.1,1.2,1.2,2.8,0.0,0.4,54.7,1.8
5350812.00,5350812.00,53.7,15.6,2.0,15.3,6.7,1.9,1.4,1.1,2.5,0.0,0.2,45.3,1.0
