dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
24570152,58.2,36.6,4.5,0.2,0.0,0.5,0.0,0.0,0.0,StatCan area #24570152
24570154,69.6,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570154
24570155,70.4,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570155
24570156,55.6,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570156
24570157,66.1,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570157
24570158,65.9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570158
24570159,57.3,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570159
24570161,64.6,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570161
24570163,56.8,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570163
24570164,58.6,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570164
24570167,64.4,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570167
24570168,68.4,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570168
24570169,75.2,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570169
24570170,60.9,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570170
24570171,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570171
24570174,80.8,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570174
24570175,53.3,42.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570175
24570176,62.9,33.9,2.2,0.0,0.0,0.5,0.0,0.0,0.0,StatCan area #24570176
24570177,56.8,22.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570177
24570179,61.3,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570179
24570180,76.4,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570180
24570181,60.4,34.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570181
24570182,77.2,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570182
24570184,74.9,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570184
24570185,58.5,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570185
24570186,74.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570186
24570187,61.8,28.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570187
24570188,79.5,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570188
24570189,75.4,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570189
24570190,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570190
24570191,70.7,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570191
24570192,64.1,31.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570192
24570194,67.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570194
24570196,64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570196
24570197,71.9,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570197
24570198,60.7,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570198
24570200,52.7,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570200
24570201,57.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570201
24570208,76.9,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570208
24570209,65.1,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570209
24570210,58.4,37.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570210
24570211,65.4,31.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570211
24570213,63.5,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570213
24570214,68.1,29.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570214
24570226,68.1,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570226
24570227,83.9,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570227
24570228,78.6,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570228
24570229,67.0,32.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,StatCan area #24570229
24570230,74.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570230
24570231,47.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570231
24570232,68.2,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570232
24570233,79.6,19.4,0.0,0.0,0.0,2.2,0.0,0.0,0.0,StatCan area #24570233
24570234,47.5,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570234
24570242,63.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570242
24570243,63.1,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570243
24570244,82.7,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570244
24570245,57.0,38.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570245
24570246,61.1,25.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570246
