year,partial,deaths_number,deaths_rate,hosp_rate
2016,False,2832,7.8,16.4
2017,False,3928,10.7,18.0
2018,False,4253,11.5,17.4
2019,False,3585,9.5,15.3
2020,False,6166,16.2,17.6
2021,False,7546,19.7,20.9
2022,False,7227,18.6,17.8
2023,False,8020,20.0,20.6
2024,False,7313,17.7,17.4
2025,True,4162,13.3,14.8
