date,exports_us,imports_us,exports_total,imports_total,exports_us_share,balance_us,balance_total,balance_row
1997-01-01,19863.7,14352.7,24494.6,21515.2,81.09420035436382,5511.0,2979.399999999998,-2531.600000000002
1997-02-01,19812.1,14445.3,24226.4,21316.4,81.77896839811115,5366.799999999999,2910.0,-2456.7999999999993
1997-03-01,19662.8,14676.4,24415.2,21177.8,80.53507650971525,4986.4,3237.4000000000015,-1748.9999999999982
1997-04-01,19696.9,14857.1,24404.3,22442.4,80.71077637957245,4839.800000000001,1961.8999999999978,-2877.9000000000033
1997-05-01,20282.9,15123.4,24755.6,22369.2,81.9325728320057,5159.500000000002,2386.399999999998,-2773.100000000004
1997-06-01,19879.2,15508.0,24188.8,22668.7,82.18348987961372,4371.200000000001,1520.0999999999985,-2851.100000000002
1997-07-01,20664.7,15561.8,25314.8,23028.0,81.63090366109944,5102.9000000000015,2286.7999999999993,-2816.100000000002
1997-08-01,20142.7,15534.7,24688.0,23033.1,81.58903110823073,4608.0,1654.9000000000015,-2953.0999999999985
1997-09-01,20665.4,15798.9,25072.4,23655.5,82.42290327212393,4866.500000000002,1416.9000000000015,-3449.6000000000004
1997-10-01,20322.8,15951.4,24706.1,23679.4,82.2582277251367,4371.4,1026.699999999997,-3344.7000000000025
1997-11-01,21068.8,15971.7,25500.6,23734.6,82.6208010791903,5097.0999999999985,1766.0,-3331.0999999999985
1997-12-01,21826.4,16632.3,26302.5,24326.2,82.98222602414221,5194.100000000002,1976.2999999999993,-3217.800000000003
1998-01-01,20888.8,16511.8,25165.2,24119.1,83.00669178071304,4377.0,1046.1000000000022,-3330.899999999998
1998-02-01,21676.3,16710.6,26004.6,24618.1,83.35563707959362,4965.700000000001,1386.5,-3579.2000000000007
1998-03-01,21328.4,16359.6,25544.9,24125.6,83.49376979357915,4968.800000000001,1419.300000000003,-3549.499999999998
1998-04-01,21992.8,16648.0,26341.5,24530.1,83.49106922536681,5344.799999999999,1811.4000000000015,-3533.399999999998
1998-05-01,22068.5,16782.9,26122.2,24518.0,84.48178177948257,5285.5999999999985,1604.2000000000007,-3681.399999999998
1998-06-01,21481.1,16376.0,25494.1,24590.2,84.25910308659651,5105.0999999999985,903.8999999999978,-4201.200000000001
1998-07-01,21621.7,15668.7,25579.6,23434.4,84.52712317628111,5953.0,2145.199999999997,-3807.800000000003
1998-08-01,22926.5,16883.4,26753.6,24711.4,85.69500926978051,6043.0999999999985,2042.199999999997,-4000.9000000000015
1998-09-01,23398.6,17341.8,27335.3,25255.5,85.59847523166016,6056.799999999999,2079.7999999999993,-3977.0
1998-10-01,24088.2,18117.1,27989.4,26380.8,86.06186627794807,5971.100000000002,1608.6000000000022,-4362.5
1998-11-01,24095.8,18039.2,27889.9,25948.7,86.39615057780773,6056.5999999999985,1941.2000000000007,-4115.399999999998
1998-12-01,24338.7,18138.9,28195.0,26154.5,86.3227522610392,6199.799999999999,2040.5,-4159.299999999999
1999-01-01,24607.8,17810.4,28452.0,25689.9,86.4888232813159,6797.399999999998,2762.0999999999985,-4035.2999999999993
1999-02-01,24645.4,17606.9,28619.9,26002.0,86.11280961848225,7038.5,2617.9000000000015,-4420.5999999999985
1999-03-01,24619.7,17574.6,28326.9,25932.7,86.91279314008945,7045.100000000002,2394.2000000000007,-4650.9000000000015
1999-04-01,24573.8,17672.6,28248.7,25850.8,86.990905776195,6901.200000000001,2397.9000000000015,-4503.299999999999
1999-05-01,24565.7,17564.8,28357.6,26021.1,86.6282760177166,7000.9000000000015,2336.5,-4664.4000000000015
1999-06-01,25151.5,17528.2,29116.9,26204.3,86.38110513138417,7623.299999999999,2912.600000000002,-4710.699999999997
1999-07-01,26162.2,17891.2,29938.5,26434.8,87.38647560833041,8271.0,3503.7000000000007,-4767.299999999999
1999-08-01,26665.7,18101.5,30426.7,26787.7,87.63914588174202,8564.2,3639.0,-4925.200000000001
1999-09-01,26060.0,18128.8,30175.9,27060.5,86.36030739762526,7931.200000000001,3115.4000000000015,-4815.799999999999
1999-10-01,26524.2,18264.9,30638.7,27588.7,86.57090542353299,8259.3,3050.0,-5209.299999999999
1999-11-01,27136.4,18535.3,31459.8,28025.6,86.25738243726916,8601.100000000002,3434.2000000000007,-5166.9000000000015
1999-12-01,27363.7,18895.5,31659.3,28810.4,86.43179097453198,8468.2,2848.899999999998,-5619.300000000003
2000-01-01,28516.1,18972.5,32909.6,28513.0,86.64979215791136,9543.599999999999,4396.5999999999985,-5147.0
2000-02-01,27752.8,18838.7,32204.5,28591.9,86.17677653744042,8914.099999999999,3612.5999999999985,-5301.5
2000-03-01,28975.9,19055.4,33492.5,29161.9,86.51459281928791,9920.5,4330.5999999999985,-5589.9000000000015
2000-04-01,28768.8,18871.0,32994.6,29200.3,87.19244967358296,9897.8,3794.2999999999993,-6103.5
2000-05-01,29814.3,19341.4,34479.7,30421.0,86.46913981270139,10472.899999999998,4058.699999999997,-6414.200000000001
2000-06-01,30616.5,19513.5,35210.6,30081.2,86.95250861956343,11103.0,5129.399999999998,-5973.600000000002
2000-07-01,30030.7,19012.5,34580.4,29664.7,86.84312500722953,11018.2,4915.700000000001,-6102.5
2000-08-01,29802.1,19109.1,34412.4,29528.5,86.60279434157454,10693.0,4883.9000000000015,-5809.0999999999985
2000-09-01,30289.1,19108.8,34904.6,30334.7,86.77681451728425,11180.3,4569.899999999998,-6610.4000000000015
2000-10-01,31370.6,19342.8,35820.0,30239.0,87.57844779452819,12027.8,5581.0,-6446.799999999999
2000-11-01,31284.1,19221.7,35582.6,30665.5,87.91965736062008,12062.399999999998,4917.0999999999985,-7145.299999999999
2000-12-01,32068.0,19272.7,36623.8,30590.3,87.5605480589125,12795.3,6033.500000000004,-6761.799999999996
2001-01-01,33186.0,18872.6,37968.8,29915.3,87.40334169107267,14313.400000000001,8053.500000000004,-6259.899999999998
2001-02-01,30569.5,18039.0,34783.0,28446.1,87.88632377885749,12530.5,6336.9000000000015,-6193.5999999999985
2001-03-01,30574.7,18584.6,35480.9,29537.8,86.17227860623603,11990.100000000002,5943.100000000002,-6047.0
2001-04-01,30845.9,18906.8,35432.1,29693.2,87.05636978897667,11939.100000000002,5738.899999999998,-6200.200000000004
2001-05-01,30409.9,18605.5,34964.2,29099.7,86.97439094845586,11804.400000000001,5864.499999999996,-5939.900000000005
2001-06-01,29643.7,19148.1,33906.8,29707.7,87.42700579234844,10495.600000000002,4199.100000000002,-6296.5
2001-07-01,28552.2,18531.9,32839.3,28596.7,86.94521503198911,10020.3,4242.600000000002,-5777.699999999997
2001-08-01,28097.8,17868.1,32132.2,28700.9,87.44437044460074,10229.7,3431.2999999999993,-6798.4000000000015
2001-09-01,27600.2,17323.1,31501.2,27110.4,87.61634477416733,10277.100000000002,4390.799999999999,-5886.300000000003
2001-10-01,27034.5,17543.2,31206.6,27821.4,86.63071273384477,9491.3,3385.199999999997,-6106.100000000002
2001-11-01,28078.7,17553.3,32694.2,27512.9,85.88281713576109,10525.400000000001,5181.299999999999,-5344.100000000002
2001-12-01,27158.6,17314.0,31176.4,26968.4,87.112687802312,9844.599999999999,4208.0,-5636.5999999999985
2002-01-01,27775.2,17681.1,31725.5,27586.8,87.5485019936644,10094.100000000002,4138.700000000001,-5955.4000000000015
2002-02-01,28554.4,17728.0,32806.9,28065.3,87.0377877824482,10826.400000000001,4741.600000000002,-6084.799999999999
2002-03-01,28145.3,18153.3,32168.3,28486.7,87.49389927350839,9992.0,3681.5999999999985,-6310.4000000000015
2002-04-01,28859.2,17797.2,33157.2,28550.5,87.03750618266923,11062.0,4606.699999999997,-6455.300000000003
