country_code,year,real_gdp_growth,country_name
AUS,2000,3.35967012135217,Australia
AUS,2001,2.69700114779499,Australia
AUS,2002,3.99884735715462,Australia
AUS,2003,3.11801525790933,Australia
AUS,2004,3.95702807365264,Australia
AUS,2005,3.0432304891693,Australia
AUS,2006,2.70615539714089,Australia
AUS,2007,4.3782589657721,Australia
AUS,2008,2.53614125242134,Australia
AUS,2009,1.99902852169038,Australia
AUS,2010,2.4812948053733,Australia
AUS,2011,2.66494513394117,Australia
AUS,2012,4.01435444731176,Australia
AUS,2013,2.19501700231598,Australia
AUS,2014,2.53091062199425,Australia
AUS,2015,2.30180548884216,Australia
AUS,2016,2.69279741059881,Australia
AUS,2017,2.43987532218532,Australia
AUS,2018,2.83180248346022,Australia
AUS,2019,1.95240631811983,Australia
AUS,2020,-2.10317592657782,Australia
AUS,2021,5.388563250272,Australia
AUS,2022,4.20564551851949,Australia
AUS,2023,2.06515466065265,Australia
AUS,2024,1.06582759227499,Australia
AUS,2025,1.9858069138855,Australia
AUS,2026,1.94739379230805,Australia
CAN,2000,5.13853916346076,Canada
CAN,2001,1.87509812231511,Canada
CAN,2002,2.99925534033406,Canada
CAN,2003,1.80638513352183,Canada
CAN,2004,3.0923638326293,Canada
CAN,2005,3.21045438879788,Canada
CAN,2006,2.63794374844703,Canada
CAN,2007,2.04990462170888,Canada
CAN,2008,0.995406342461436,Canada
CAN,2009,-2.91508625839376,Canada
CAN,2010,3.09080636493577,Canada
CAN,2011,3.13719441180021,Canada
CAN,2012,1.75566131368798,Canada
CAN,2013,2.3258135613525,Canada
CAN,2014,2.87346677753096,Canada
CAN,2015,0.649971004305854,Canada
CAN,2016,1.03855091867275,Canada
CAN,2017,3.03383491533961,Canada
CAN,2018,2.74296343945575,Canada
CAN,2019,1.9084319151316,Canada
CAN,2020,-5.03823341596652,Canada
CAN,2021,5.95052804144319,Canada
CAN,2022,4.69541986535387,Canada
CAN,2023,1.95308549811914,Canada
CAN,2024,2.04626608033469,Canada
CAN,2025,1.74268534332855,Canada
CAN,2026,1.15664600311551,Canada
CHE,2000,3.72950501901258,Switzerland
CHE,2001,1.63095095237357,Switzerland
CHE,2002,0.380586726401205,Switzerland
CHE,2003,-0.338110642994806,Switzerland
CHE,2004,2.50773162878953,Switzerland
CHE,2005,3.00326839646472,Switzerland
CHE,2006,4.19309924033905,Switzerland
CHE,2007,4.01768415726939,Switzerland
CHE,2008,2.42931667747045,Switzerland
CHE,2009,-1.95440001002126,Switzerland
CHE,2010,3.22779994793244,Switzerland
CHE,2011,1.4728807368664,Switzerland
CHE,2012,1.19733212781391,Switzerland
CHE,2013,1.84752891477905,Switzerland
CHE,2014,2.48168484386727,Switzerland
CHE,2015,1.39877604947176,Switzerland
CHE,2016,1.95381618218454,Switzerland
CHE,2017,1.46070974568018,Switzerland
CHE,2018,3.35577521835414,Switzerland
CHE,2019,1.11017963541117,Switzerland
CHE,2020,-2.36479162934583,Switzerland
CHE,2021,6.16688179811925,Switzerland
CHE,2022,3.59435145333617,Switzerland
CHE,2023,0.875166364044816,Switzerland
CHE,2024,1.38931125539347,Switzerland
CHE,2025,1.27180270639835,Switzerland
CHE,2026,1.12628047185176,Switzerland
DEU,2000,3.10601879364604,Germany
DEU,2001,1.76413550642654,Germany
DEU,2002,-0.20094962719233,Germany
DEU,2003,-0.540943521380811,Germany
DEU,2004,0.697988229269882,Germany
DEU,2005,1.05923114487918,Germany
