year,decile,avg_income
1984,Second decile,22000.0
1984,Seventh decile,49800.0
1984,Sixth decile,43900.0
1984,Third decile,28200.0
1985,Eighth decile,58100.0
1985,Fifth decile,39400.0
1985,Fourth decile,34300.0
1985,Highest decile,101500.0
1985,Lowest decile,13300.0
1985,Ninth decile,68600.0
1985,Second decile,22800.0
1985,Seventh decile,50700.0
1985,Sixth decile,44800.0
1985,Third decile,28800.0
1986,Eighth decile,58400.0
1986,Fifth decile,39700.0
1986,Fourth decile,34400.0
1986,Highest decile,103200.0
1986,Lowest decile,13700.0
1986,Ninth decile,69100.0
1986,Second decile,23300.0
1986,Seventh decile,51000.0
1986,Sixth decile,44900.0
1986,Third decile,29100.0
1987,Eighth decile,58800.0
1987,Fifth decile,39700.0
1987,Fourth decile,34500.0
1987,Highest decile,101900.0
1987,Lowest decile,14100.0
1987,Ninth decile,69800.0
1987,Second decile,23500.0
1987,Seventh decile,51100.0
1987,Sixth decile,45100.0
1987,Third decile,29400.0
1988,Eighth decile,60500.0
1988,Fifth decile,41000.0
1988,Fourth decile,35500.0
1988,Highest decile,103100.0
1988,Lowest decile,15000.0
1988,Ninth decile,71500.0
1988,Second decile,24500.0
1988,Seventh decile,52600.0
1988,Sixth decile,46300.0
1988,Third decile,30200.0
1989,Eighth decile,61500.0
1989,Fifth decile,41800.0
1989,Fourth decile,36500.0
1989,Highest decile,105600.0
1989,Lowest decile,15000.0
1989,Ninth decile,72600.0
1989,Second decile,25200.0
1989,Seventh decile,53800.0
1989,Sixth decile,47500.0
1989,Third decile,31200.0
1990,Eighth decile,60100.0
1990,Fifth decile,40500.0
1990,Fourth decile,35200.0
1990,Highest decile,102700.0
1990,Lowest decile,13700.0
1990,Ninth decile,70800.0
1990,Second decile,23900.0
1990,Seventh decile,52500.0
1990,Sixth decile,46000.0
1990,Third decile,29800.0
1991,Eighth decile,57900.0
1991,Fifth decile,38500.0
1991,Fourth decile,33400.0
1991,Highest decile,101600.0
1991,Lowest decile,13500.0
1991,Ninth decile,68600.0
1991,Second decile,22900.0
1991,Seventh decile,50200.0
1991,Sixth decile,43900.0
1991,Third decile,28500.0
1992,Eighth decile,58000.0
1992,Fifth decile,38900.0
1992,Fourth decile,33800.0
1992,Highest decile,101300.0
1992,Lowest decile,12600.0
1992,Ninth decile,69100.0
1992,Second decile,22800.0
1992,Seventh decile,50500.0
1992,Sixth decile,44400.0
1992,Third decile,28600.0
1993,Eighth decile,56900.0
1993,Fifth decile,37900.0
1993,Fourth decile,32800.0
1993,Highest decile,98100.0
1993,Lowest decile,13400.0
1993,Ninth decile,67400.0
1993,Second decile,22300.0
1993,Seventh decile,49700.0
1993,Sixth decile,43500.0
1993,Third decile,27800.0
1994,Eighth decile,57400.0
1994,Fifth decile,38400.0
1994,Fourth decile,33200.0
1994,Highest decile,99300.0
1994,Lowest decile,13200.0
1994,Ninth decile,68200.0
1994,Second decile,22500.0
1994,Seventh decile,49800.0
1994,Sixth decile,43600.0
1994,Third decile,28200.0
1995,Eighth decile,57000.0
1995,Fifth decile,38200.0
1995,Fourth decile,33000.0
1995,Highest decile,100200.0
1995,Lowest decile,13100.0
1995,Ninth decile,67800.0
1995,Second decile,22300.0
1995,Seventh decile,49700.0
1995,Sixth decile,43600.0
1995,Third decile,28100.0
1996,Eighth decile,57400.0
1996,Fifth decile,38100.0
1996,Fourth decile,32700.0
1996,Highest decile,102700.0
1996,Lowest decile,12600.0
1996,Ninth decile,68500.0
1996,Second decile,21900.0
1996,Seventh decile,49700.0
1996,Sixth decile,43600.0
1996,Third decile,27500.0
1997,Eighth decile,58000.0
1997,Fifth decile,38400.0
1997,Fourth decile,32900.0
1997,Highest decile,104600.0
1997,Lowest decile,12100.0
1997,Ninth decile,69300.0
1997,Second decile,22000.0
1997,Seventh decile,50300.0
1997,Sixth decile,44000.0
1997,Third decile,27700.0
1998,Eighth decile,60400.0
1998,Fifth decile,39700.0
1998,Fourth decile,34100.0
1998,Highest decile,112800.0
1998,Lowest decile,12200.0
1998,Ninth decile,72100.0
1998,Second decile,22700.0
1998,Seventh decile,52300.0
1998,Sixth decile,45600.0
1998,Third decile,28600.0
1999,Eighth decile,62500.0
1999,Fifth decile,41100.0
1999,Fourth decile,35500.0
1999,Highest decile,116700.0
1999,Lowest decile,12700.0
1999,Ninth decile,74600.0
1999,Second decile,23600.0
1999,Seventh decile,54200.0
1999,Sixth decile,47300.0
1999,Third decile,29800.0
2000,Eighth decile,64000.0
2000,Fifth decile,42100.0
2000,Fourth decile,36200.0
2000,Highest decile,124100.0
2000,Lowest decile,12500.0
2000,Ninth decile,76400.0
2000,Second decile,24000.0
2000,Seventh decile,55400.0
2000,Sixth decile,48300.0
2000,Third decile,30300.0
2001,Eighth decile,66600.0
2001,Fifth decile,43400.0
2001,Fourth decile,37300.0
2001,Highest decile,129300.0
2001,Lowest decile,13900.0
2001,Ninth decile,79500.0
2001,Second decile,25100.0
2001,Seventh decile,57300.0
2001,Sixth decile,49900.0
2001,Third decile,31300.0
2002,Eighth decile,66900.0
2002,Fifth decile,43900.0
2002,Fourth decile,37600.0
2002,Highest decile,129300.0
2002,Lowest decile,13900.0
2002,Ninth decile,80300.0
2002,Second decile,24800.0
2002,Seventh decile,57600.0
2002,Sixth decile,50300.0
2002,Third decile,31300.0
2003,Eighth decile,66800.0
2003,Fifth decile,43700.0
2003,Fourth decile,37400.0
2003,Highest decile,127100.0
2003,Lowest decile,14100.0
2003,Ninth decile,80200.0
2003,Second decile,24700.0
2003,Seventh decile,57500.0
2003,Sixth decile,50300.0
2003,Third decile,31100.0
2004,Eighth decile,68000.0
2004,Fifth decile,44400.0
2004,Fourth decile,38100.0
2004,Highest decile,133100.0
2004,Lowest decile,13900.0
2004,Ninth decile,81900.0
2004,Second decile,24900.0
2004,Seventh decile,58700.0
2004,Sixth decile,51200.0
2004,Third decile,31600.0
2005,Eighth decile,69600.0
2005,Fifth decile,45300.0
2005,Fourth decile,39000.0
2005,Highest decile,132300.0
2005,Lowest decile,14100.0
2005,Ninth decile,83000.0
2005,Second decile,25700.0
2005,Seventh decile,60100.0
2005,Sixth decile,52500.0
2005,Third decile,32400.0
2006,Eighth decile,71100.0
2006,Fifth decile,46200.0
2006,Fourth decile,39600.0
2006,Highest decile,133700.0
2006,Lowest decile,14800.0
2006,Ninth decile,85000.0
2006,Second decile,25900.0
2006,Seventh decile,61100.0
2006,Sixth decile,53300.0
2006,Third decile,33000.0
2007,Eighth decile,73300.0
2007,Fifth decile,47700.0
2007,Fourth decile,41100.0
2007,Highest decile,139400.0
2007,Lowest decile,15600.0
2007,Ninth decile,88000.0
2007,Second decile,27000.0
2007,Seventh decile,63200.0
2007,Sixth decile,55000.0
2007,Third decile,34300.0
2008,Eighth decile,75100.0
2008,Fifth decile,49200.0
2008,Fourth decile,42300.0
2008,Highest decile,141400.0
2008,Lowest decile,16100.0
2008,Ninth decile,89700.0
2008,Second decile,27600.0
2008,Seventh decile,64800.0
2008,Sixth decile,56600.0
2008,Third decile,35000.0
2009,Eighth decile,75500.0
2009,Fifth decile,49400.0
2009,Fourth decile,42300.0
2009,Highest decile,141200.0
2009,Lowest decile,15700.0
2009,Ninth decile,90400.0
2009,Second decile,27400.0
2009,Seventh decile,65100.0
2009,Sixth decile,57100.0
2009,Third decile,34900.0
2010,Eighth decile,75200.0
2010,Fifth decile,49600.0
2010,Fourth decile,42300.0
2010,Highest decile,142500.0
2010,Lowest decile,16000.0
2010,Ninth decile,90500.0
2010,Second decile,27600.0
2010,Seventh decile,65000.0
2010,Sixth decile,57100.0
2010,Third decile,35100.0
2011,Eighth decile,76300.0
2011,Fifth decile,50100.0
2011,Fourth decile,43000.0
2011,Highest decile,141300.0
2011,Lowest decile,16400.0
2011,Ninth decile,91800.0
2011,Second decile,28100.0
2011,Seventh decile,66000.0
2011,Sixth decile,57500.0
2011,Third decile,35700.0
2012,Eighth decile,77400.0
2012,Fifth decile,50900.0
2012,Fourth decile,43500.0
2012,Highest decile,146300.0
2012,Lowest decile,16000.0
2012,Ninth decile,92300.0
2012,Second decile,28500.0
2012,Seventh decile,67000.0
2012,Sixth decile,58800.0
2012,Third decile,36200.0
2013,Eighth decile,80200.0
2013,Fifth decile,51500.0
2013,Fourth decile,44200.0
2013,Highest decile,147400.0
2013,Lowest decile,15800.0
2013,Ninth decile,95500.0
2013,Second decile,28600.0
2013,Seventh decile,68600.0
2013,Sixth decile,59400.0
2013,Third decile,36400.0
2014,Eighth decile,79500.0
2014,Fifth decile,52300.0
2014,Fourth decile,45300.0
2014,Highest decile,148400.0
2014,Lowest decile,16800.0
2014,Ninth decile,94800.0
2014,Second decile,29700.0
2014,Seventh decile,68800.0
2014,Sixth decile,59900.0
2014,Third decile,38000.0
2015,Eighth decile,80100.0
2015,Fifth decile,53100.0
2015,Fourth decile,45400.0
2015,Highest decile,150200.0
2015,Lowest decile,16800.0
2015,Ninth decile,96500.0
2015,Second decile,29200.0
2015,Seventh decile,69100.0
2015,Sixth decile,60900.0
2015,Third decile,37500.0
2016,Eighth decile,79600.0
