year,geo,avg_weekly_wage
2015,Manitoba,864.76
2015,New Brunswick,823.85
2015,Newfoundland and Labrador,975.44
2015,Nova Scotia,834.19
2015,Ontario,959.34
2015,Prince Edward Island,801.41
2015,Quebec,856.14
2015,Saskatchewan,995.21
2016,Alberta,1143.21
2016,British Columbia,953.5
2016,Canada,965.19
2016,Manitoba,878.82
2016,New Brunswick,844.24
2016,Newfoundland and Labrador,974.97
2016,Nova Scotia,867.64
2016,Ontario,984.76
2016,Prince Edward Island,807.77
2016,Quebec,876.14
2016,Saskatchewan,1017.88
2017,Alberta,1157.97
2017,British Columbia,970.57
2017,Canada,979.92
2017,Manitoba,901.17
2017,New Brunswick,858.1
2017,Newfoundland and Labrador,994.31
2017,Nova Scotia,874.76
2017,Ontario,992.85
2017,Prince Edward Island,830.5
2017,Quebec,903.88
2017,Saskatchewan,1016.8
2018,Alberta,1182.19
2018,British Columbia,999.6
2018,Canada,1007.33
2018,Manitoba,912.86
2018,New Brunswick,878.64
2018,Newfoundland and Labrador,1016.26
2018,Nova Scotia,890.31
2018,Ontario,1030.78
2018,Prince Edward Island,839.51
2018,Quebec,919.93
2018,Saskatchewan,1039.02
2019,Alberta,1202.95
2019,British Columbia,1020.1
2019,Canada,1033.57
2019,Manitoba,936.2
2019,New Brunswick,894.06
2019,Newfoundland and Labrador,1027.27
2019,Nova Scotia,891.28
2019,Ontario,1059.89
2019,Prince Edward Island,859.33
2019,Quebec,953.93
2019,Saskatchewan,1044.65
2020,Alberta,1262.15
2020,British Columbia,1092.88
2020,Canada,1101.12
2020,Manitoba,979.06
2020,New Brunswick,935.87
2020,Newfoundland and Labrador,1071.77
2020,Nova Scotia,950.88
2020,Ontario,1138.0
2020,Prince Edward Island,910.86
2020,Quebec,1017.92
2020,Saskatchewan,1106.87
2021,Alberta,1246.09
2021,British Columbia,1138.63
2021,Canada,1123.94
2021,Manitoba,998.05
2021,New Brunswick,955.25
2021,Newfoundland and Labrador,1098.63
2021,Nova Scotia,960.85
2021,Ontario,1164.85
2021,Prince Edward Island,945.77
2021,Quebec,1043.59
2021,Saskatchewan,1106.53
2022,Alberta,1267.97
2022,British Columbia,1194.34
2022,Canada,1175.84
2022,Manitoba,1029.93
